Identifier,dX,dY,dZ,eX,eY,eZ,Local Geodatic System,Ellipsoid,location
IND-I,295,736,257,12,10,15,Indian,Everest (India 1956),India And Nepal
IND-B,282,726,254,10,8,15,Indian,Everest (India 1830),Bangladesh
NAS-A,-9,161,179,5,5,8,North American 1927,Clarke 1866,Eastern United States
NAS-B,-8,159,175,5,3,3,North American 1927,Clarke 1866,Western United States
NAS-C,-8,160,176,5,5,6,North American 1927,Clarke 1866,Mean Value(Conus)
NAS-D,-5,135,172,5,9,5,North American 1927,Clarke 1866,Alaska
NAS-E,-10,158,187,15,11,6,North American 1927,Clarke 1866,Canada
NAS-F,-7,162,188,8,8,6,North American 1927,Clarke 1866,Alberta and British Columbia
NAS-G,-22,160,190,6,6,3,North American 1927,Clarke 1866,East Canada
NAS-N,0,125,194,8,3,5,North American 1927,Clarke 1866,Central America
NAS-P,-3,142,183,3,9,12,North American 1927,Clarke 1866,Caribbean
NAS-T,-9,152,178,25,25,25,North American 1927,Clarke 1866,Cuba
NAS-L,-12,130,190,8,6,6,North American 1927,Clarke 1866,Mexico
NAR-A,0,0,0,2,2,2,North American 1983,GRS 80,Alaska
NAR-B,0,0,0,2,2,2,North American 1983,GRS 80,Canada
NAR-C,0,0,0,2,2,2,North American 1983,GRS 80 ,Conus
NAR-D,0,0,0,2,2,2,North American 1983,GRS 80 ,Mexico And Central America
NAR-E,-2,0,4,5,2,5,North American 1983,GRS 80 ,Aleutian Island
NAR-H,1,1,-1,2,2,2,North American 1983,GRS 80 ,Hawaii
